Nama,Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti
Rumah 2 Lantai Taman Permata Buana Luas Tanah 250m2,"Rp 8,2 Miliar",3,3,250 m²,350 m²,1,SHM,Lainnya,1,1,,2,Bagus
Rumah 2.5 Lantai Baru Renovasi di Permata Buana Lokasi Bagus ,"Rp 8,7 Miliar",4,4,190 m²,450 m²,2,SHM,Lainnya,1,1,,3,Bagus
Dijual Cepat Rumah Siap Huni Di Kelapa Gading,Rp 7 Miliar,4,3,289 m²,300 m²,3,SHM,16500 Watt,1,1,,2,Bagus
Dijual Rumah Baru Minimalis Modern Kelapa Gading,"Rp 3,2 Miliar",4,3,102 m²,180 m²,1,SHM,2200 Watt,1,1,,1,Butuh Renovasi
Rumah Minimalis 2 Lantai Di Cluster Paradise Bintaro,"Rp 2,6 Miliar",5,3,146 m²,120 m²,2,SHM,2200 Watt,2,1,,1,Bagus
DIJUAL CEPAT RUMAH MEWAH BANGUNAN 1 LANTAI LUAS TANAH 1600 M HARGA MURAH BISA BUAT COMPOUND ATAU CAFE ATAU KANTOR ATAU RUANG USAHA ATAU TEMPAT TINGGAL LOKASI STRATEGIS DEKAT KEMANG DAN PERBELANJAAN AREA AMPERA KEMANG JAKARTA SELATAN,"Rp 34,9 Miliar",4,2,1600 m²,700 m²,1,SHM,23000 Watt,1,1,,4,Bagus
Dijual Rumah Menteng Bangunan Lama In Prime Area,Rp 39 Miliar,6,6,760 m²,450 m²,1,SHM,Lainnya,1,1,,2,Bagus
Rumah PIK Katamaran Indah Brand New Mewah Semi Furnish Siap Huni,Rp 20 Miliar,3,3,312 m²,1050 m²,1,SHM,Lainnya,1,1,,3,Bagus
Siap Huni Rumah Golf Island PIK Furnish Mewah Lux Jalan Boulevard,"Rp 6,8 Miliar",3,3,150 m²,170 m²,1,PPJB,4400 Watt,1,1,,2,Bagus
Rumah Pik Katamaran Uk 4 X 11.5 Shm 2 Lantai Unfurnish,"Rp 2,7 Miliar",2,2,46 m²,75 m²,2,SHM,Lainnya,1,1,,2,Bagus
Rumah Murah 2 Lantai Shm Dekat Sunter Agung,Rp 455 Juta,4,4,21 m²,41 m²,1,SHM,2200 Watt,1,2,,2,Bagus
